originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
4,State Colleges,3,State Universities,SGSC,South Georgia,ALS,Albany,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,2,5,9,1,3,1,5,5,8,7,6,15
4,State Colleges,3,State Universities,DAR,Darton,CSU,Columbus,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,14,17,7,9,13,18,17,20,28,21,27,36
5,Out-of-System,4,State Colleges,OUT,Non-USG Institutions,ABC,Abrah. Baldwin Agric.,4945,5397,5258,5420,6058,6228,7642,7955,8421,7660,6700,7022,132,154,146,138,111,102,176,156,175,171,176,153
1,Research Universities,1,Research Universities,UGA,University of Georgia,GSU,Georgia,535,591,544,522,566,504,573,509,533,509,457,447,98,103,100,91,90,92,105,78,93,85,74,62
2,Comprehensive Universities,3,State Universities,KEN,Kennesaw,CSU,Columbus,550,601,590,596,633,639,702,707,658,775,750,647,8,9,3,8,6,12,13,16,9,12,10,14
2,Comprehensive Universities,4,State Colleges,VSU,Valdosta,GHC,Georgia Highlands,796,829,788,778,919,992,1146,1132,1227,1166,1227,1065,2,8,5,9,12,10,11,13,11,12,10,8
4,State Colleges,4,State Colleges,CCG,College of Coastal Georgia,SGC,South Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,2,4,10,2,17,6,9,8,3,3,2,0
2,Comprehensive Universities,3,State Universities,GSC,Georgia Southern,GSW,Georgia Southwestern,550,601,590,596,633,639,702,707,658,775,750,647,11,8,15,6,14,13,12,15,10,11,15,4
1,Research Universities,4,State Colleges,GSU,Georgia,MGSC,Middle Georgia,409,451,427,403,456,524,640,626,671,612,536,604,0,0,0,0,0,0,0,0,0,0,14,18
4,State Colleges,3,State Universities,BAN,Bainbridge,FVS,Fort Valley,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,0,0,0,1,1,3,1,0,0,1
1,Research Universities,3,State Universities,GIT,Georgia Institute of Technology,ALS,Albany,436,407,418,376,360,378,409,384,369,436,388,333,0,0,0,1,0,0,0,0,0,1,0,1
4,State Colleges,3,State Universities,CCG,College of Coastal Georgia,SPS,Southern Polytechnic,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,1,2,4,0,2,4,6,4,2,3,0,1
1,Research Universities,1,Research Universities,GRU,Georgia Regents,GIT,Georgia Institute of Technology,535,591,544,522,566,504,573,509,533,509,457,447,0,1,0,0,0,0,0,0,0,0,0,3
3,State Universities,4,State Colleges,FVS,Fort Valley,BAN,Bainbridge,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,2,2,0,1,0,0,1,2,1,2,0,1
3,State Universities,4,State Colleges,NGC,North Georgia,GGC,Georgia Gwinnett,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,4,1,5,12,18,20,21,5,0
2,Comprehensive Universities,3,State Universities,KEN,Kennesaw,NGC,North Georgia,550,601,590,596,633,639,702,707,658,775,750,647,14,20,25,27,20,35,17,22,27,26,10,0
2,Comprehensive Universities,2,Comprehensive Universities,GSC,Georgia Southern,VSU,Valdosta,340,409,380,422,399,428,428,429,531,485,477,496,24,26,25,26,26,18,23,15,20,16,16,8
4,State Colleges,3,State Universities,GGC,Georgia Gwinnett,GCM,Georgia,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,0,0,0,0,0,0,0,0,0,0,17,14
